N,relError
1410,0.000956424
1411,0.0217465
1412,0.00591188
1413,0.00358482
1414,0.0242781
1415,0.00335778
1416,0.00249549
1417,0.00367506
1418,0.000275057
1419,0.0025226
1420,0.00616518
1421,0.00424307
1422,0.0113311
1423,0.00879177
1424,0.0173889
1425,0.0214314
1426,0.0138036
1427,0.00223707
1428,0.0126009
1429,0.0210339
1430,0.0147222
1431,0.00780694
1432,0.00682108
1433,0.0122261
1434,0.0356134
1435,0.0164661
1436,0.00254266
1437,0.0214259
1438,0.00558495
1439,0.0183525
1440,0.00626085
1441,0.0148751
1442,0.016087
1443,0.00341788
1444,0.0170281
1445,0.038882
1446,0.0122002
1447,0.00295283
1448,0.0480431
1449,0.0090504
1450,0.0156706
1451,0.00657594
1452,0.0303149
1453,0.00186379
1454,0.0171652
1455,0.0215707
1456,0.0134757
1457,0.0121988
1458,0.0117885
1459,0.00471887
1460,0.01824
1461,0.019167
1462,0.0085384
1463,0.0198196
1464,0.00132032
1465,0.00360076
1466,0.0117106
1467,0.0184799
1468,0.00879522
1469,0.0284273
1470,0.00011935
1471,0.0321656
1472,0.000546333
1473,0.0142764
1474,0.00991914
1475,0.0161981
1476,0.031252
1477,0.0410377
1478,0.0109755
1479,0.0402967
1480,0.032642
1481,0.00578763
1482,0.0194452
1483,0.0277925
1484,0.0161333
1485,0.00719924
1486,0.020496
1487,0.0137957
1488,0.0128811
1489,0.0129453
1490,0.0193963
1491,0.011191
1492,0.00297067
1493,0.00210527
1494,0.0181809
1495,0.0086417
1496,0.0244315
1497,0.0203887
1498,0.0208363
1499,0.00084964
1500,0.0019112
1501,0.00576396
1502,0.00323047
1503,0.0189568
1504,0.0151658
1505,0.00830468
1506,0.0126851
1507,0.00896303
1508,0.00695411
1509,0.0129671
1510,0.0219383
1511,0.0139703
1512,0.0198109
1513,0.00449995
1514,0.00709936
1515,0.0233248
1516,0.0207966
1517,0.00612211
1518,0.0114712
1519,0.0159046
1520,0.00378623
1521,0.0289498
1522,0.060394
1523,0.0116468
1524,0.0046642
1525,0.00499338
1526,0.0179743
1527,0.0279912
1528,0.0337858
1529,0.00119505
1530,0.0270092
1531,0.0116459
1532,0.0239981
1533,0.0280155
1534,0.0195709
1535,0.000463631
1536,0.00600692
1537,0.0179139
1538,0.0229224
1539,0.0246861
1540,0.0222745
1541,0.039191
1542,0.00391501
1543,0.00516147
1544,0.0130209
1545,0.0166988
1546,0.0166855
1547,0.0210461
1548,0.00711177
1549,0.00275978
1550,0.00516309
1551,0.0136177
1552,0.00675604
1553,0.0204488
1554,0.0208524
1555,0.0182085
1556,0.000155301
1557,0.0172006
1558,0.00944108
1559,0.00588934
1560,0.00799471
1561,0.0420429
1562,0.00430743
1563,0.0182548
1564,0.0458618
1565,0.0405555
1566,0.014636
1567,0.0070499
1568,0.0084125
1569,0.000132888
1570,0.0127437
1571,0.00442217
1572,0.0109315
1573,0.0380655
1574,0.0289496
1575,0.00732775
1576,0.0238982
1577,0.00632432
1578,0.0166014
1579,0.0228941
1580,0.0181234
1581,0.00536131
1582,0.00507481
1583,0.0264548
1584,0.0322746
1585,0.00473089
1586,0.00615361
1587,0.019386
1588,0.0330662
1589,0.0233673
1590,0.0177518
1591,0.00760326
1592,0.00614238
1593,0.0202058
1594,0.00824633
1595,0.00428635
1596,0.00361089
1597,0.0249967
1598,0.00178561
1599,0.00477949
1600,0.0256839
1601,0.0349441
1602,0.000315684
1603,0.00566971
1604,0.00609981
1605,0.00794498
1606,0.00245076
1607,0.0203936
1608,0.00992406
1609,0.00613102
1610,0.0225013
1611,0.000679711
1612,0.0168118
1613,0.017574
1614,0.0126936
1615,0.0193002
1616,0.000107395
1617,0.00370395
1618,0.00646382
1619,0.0148589
1620,0.0362891
1621,0.018936
1622,0.00383305
1623,0.0249284
1624,0.0318633
1625,0.00235478
1626,0.0136772
1627,0.0139968
1628,0.0069771
1629,0.0153006
1630,0.00877509
1631,0.00188718
1632,0.0241968
1633,0.0553648
1634,0.0213386
1635,0.00775206
1636,0.0170485
1637,0.0222577
1638,0.00912592
1639,0.0133517
1640,0.0171256
1641,0.0140239
1642,0.0135755
1643,0.00287055
1644,0.0173938
1645,0.00921217
1646,0.0275879
1647,0.0122476
1648,0.0029993
1649,0.044825
1650,0.00674274
1651,0.0187131
1652,0.00486517
1653,0.00188707
1654,0.00265998
1655,0.0271305
1656,0.0129564
1657,0.0149682
1658,0.00986008
1659,0.00995385
1660,0.0228786
1661,0.00318443
1662,0.0191461
1663,0.0114109
1664,0.0118611
1665,0.000804692
1666,0.0208884
1667,0.0104791
1668,0.00551544
1669,0.0294452
1670,0.0428501
1671,0.0301114
1672,0.000745356
1673,0.0391407
1674,0.00248561
1675,0.0282194
1676,0.0384082
1677,0.0100837
1678,0.0286624
1679,0.0344764
1680,0.0216055
